Ticker,Date,Open,High,Low,Close,Volume,Strike,Expiration
O:SPY250303C00400000,2025-03-03,194.15,195.49,194.15,195.49,10,400,2025-03-03
O:SPY250303C00510000,2025-03-03,79.7,79.7,79.7,79.7,4,510,2025-03-03
O:SPY250303C00515000,2025-03-03,78.19,78.19,78.19,78.19,2,515,2025-03-03
O:SPY250303C00535000,2025-03-03,58.56,58.56,54.39,54.39,4,535,2025-03-03
O:SPY250303C00540000,2025-03-03,53.82,53.82,53.82,53.82,4,540,2025-03-03
O:SPY250303C00545000,2025-03-03,50.67,50.67,38.55,38.55,6,545,2025-03-03
O:SPY250303C00550000,2025-03-03,43.02,43.02,43.02,43.02,2,550,2025-03-03
O:SPY250303C00551000,2025-03-03,38.8,38.8,38.8,38.8,2,551,2025-03-03
O:SPY250303C00552000,2025-03-03,41,41,41,41,2,552,2025-03-03
O:SPY250303C00557000,2025-03-03,32.15,32.15,30.84,30.84,4,557,2025-03-03
O:SPY250303C00560000,2025-03-03,35.25,35.25,21.54,21.54,8,560,2025-03-03
O:SPY250303C00563000,2025-03-03,33.88,33.88,19.99,20,20,563,2025-03-03
O:SPY250303C00567000,2025-03-03,24.82,24.82,24.82,24.82,760,567,2025-03-03
O:SPY250303C00568000,2025-03-03,29.05,29.05,29.05,29.05,4,568,2025-03-03
O:SPY250303C00570000,2025-03-03,24.43,25.2,12.07,14.46,96,570,2025-03-03
O:SPY250303C00571000,2025-03-03,22.82,22.82,21.9,21.9,4,571,2025-03-03
O:SPY250303C00572000,2025-03-03,21.69,21.69,9.57,9.57,4,572,2025-03-03
O:SPY250303C00573000,2025-03-03,23.28,23.28,23.28,23.28,6,573,2025-03-03
O:SPY250303C00574000,2025-03-03,22,22,6.4,6.4,20,574,2025-03-03
O:SPY250303C00575000,2025-03-03,21.38,22,6,9.49,784,575,2025-03-03
O:SPY250303C00576000,2025-03-03,20.09,20.09,4.28,5.35,720,576,2025-03-03
O:SPY250303C00577000,2025-03-03,19.05,19.05,3.33,7.36,344,577,2025-03-03
O:SPY250303C00578000,2025-03-03,18.08,18.12,2.37,5.33,2496,578,2025-03-03
O:SPY250303C00579000,2025-03-03,17.05,18.1,1.69,3.15,1982,579,2025-03-03
O:SPY250303C00580000,2025-03-03,16.09,17.32,1.08,4.5,20040,580,2025-03-03
O:SPY250303C00581000,2025-03-03,14.95,16.34,0.64,3.7,31025,581,2025-03-03
O:SPY250303C00582000,2025-03-03,14.09,14.3,0.35,2.89,72578,582,2025-03-03
O:SPY250303C00583000,2025-03-03,13,14.19,0.17,1.55,107668,583,2025-03-03
O:SPY250303C00584000,2025-03-03,12.06,13.39,0.09,0.77,95164,584,2025-03-03
